name,price,category,
Jim Parsons ,100,Talent,"{'name':'Jim Parsons ', 'price':100},"
Kaley Cuoco ,100,Talent,"{'name':'Kaley Cuoco ', 'price':100},"
Johnny Galecki ,100,Talent,"{'name':'Johnny Galecki ', 'price':100},"
Lauren Graham ,75,Talent,"{'name':'Lauren Graham ', 'price':75},"
Alexis Bledel ,75,Talent,"{'name':'Alexis Bledel ', 'price':75},"
Mark Harmon ,52.5,Talent,"{'name':'Mark Harmon ', 'price':52.5},"
Kevin Spacey ,50,Talent,"{'name':'Kevin Spacey ', 'price':50},"
Peter Dinklage ,50,Talent,"{'name':'Peter Dinklage ', 'price':50},"
Lena Headey ,50,Talent,"{'name':'Lena Headey ', 'price':50},"
Kit Harington ,50,Talent,"{'name':'Kit Harington ', 'price':50},"
Emilia Clarke ,50,Talent,"{'name':'Emilia Clarke ', 'price':50},"
Nikolaj Coster-Waldau ,50,Talent,"{'name':'Nikolaj Coster-Waldau ', 'price':50},"
Claire Danes ,45,Talent,"{'name':'Claire Danes ', 'price':45},"
Mariska Hargitay ,45,Talent,"{'name':'Mariska Hargitay ', 'price':45},"
Dwayne Johnson ,40,Talent,"{'name':'Dwayne Johnson ', 'price':40},"
Ellen Pompeo ,40,Talent,"{'name':'Ellen Pompeo ', 'price':40},"
Joel Kinnaman ,35,Talent,"{'name':'Joel Kinnaman ', 'price':35},"
Drew Barrymore ,35,Talent,"{'name':'Drew Barrymore ', 'price':35},"
Emma Stone ,35,Talent,"{'name':'Emma Stone ', 'price':35},"
Jonah Hill ,35,Talent,"{'name':'Jonah Hill ', 'price':35},"
Reese Witherspoon ,35,Talent,"{'name':'Reese Witherspoon ', 'price':35},"
Nicole Kidman ,35,Talent,"{'name':'Nicole Kidman ', 'price':35},"
Nancy Cartwright (Bart Simpson),31.5,Talent,"{'name':'Nancy Cartwright (Bart Simpson)', 'price':31.5},"
Dan Castellaneta (Homer Simpson),31.5,Talent,"{'name':'Dan Castellaneta (Homer Simpson)', 'price':31.5},"
Julie Kavner (Marge Simpson),31.5,Talent,"{'name':'Julie Kavner (Marge Simpson)', 'price':31.5},"
Yeardley Smith (Lisa Simpson),31.5,Talent,"{'name':'Yeardley Smith (Lisa Simpson)', 'price':31.5},"
Kiefer Sutherland ,30,Talent,"{'name':'Kiefer Sutherland ', 'price':30},"
Michael Weatherly ,30,Talent,"{'name':'Michael Weatherly ', 'price':30},"
Jeffrey Tambor ,27.5,Talent,"{'name':'Jeffrey Tambor ', 'price':27.5},"
Naomi Watts ,27.5,Talent,"{'name':'Naomi Watts ', 'price':27.5},"
Sarah Jessica Parker ,27.5,Talent,"{'name':'Sarah Jessica Parker ', 'price':27.5},"
Hugh Laurie ,27.5,Talent,"{'name':'Hugh Laurie ', 'price':27.5},"
Julia Louis-Dreyfus ,25,Talent,"{'name':'Julia Louis-Dreyfus ', 'price':25},"
Tim Allen ,25,Talent,"{'name':'Tim Allen ', 'price':25},"
Patricia Heaton ,25,Talent,"{'name':'Patricia Heaton ', 'price':25},"
Julie Bowen ,25,Talent,"{'name':'Julie Bowen ', 'price':25},"
Ty Burrell ,25,Talent,"{'name':'Ty Burrell ', 'price':25},"
Jesse Tyler Ferguson ,25,Talent,"{'name':'Jesse Tyler Ferguson ', 'price':25},"
Eric Stonestreet ,25,Talent,"{'name':'Eric Stonestreet ', 'price':25},"
Sofia Vergara ,25,Talent,"{'name':'Sofia Vergara ', 'price':25},"
Daniel Craig ,25,Talent,"{'name':'Daniel Craig ', 'price':25},"
Clive Owen ,25,Talent,"{'name':'Clive Owen ', 'price':25},"
Viola Davis ,25,Talent,"{'name':'Viola Davis ', 'price':25},"
James Spader ,25,Talent,"{'name':'James Spader ', 'price':25},"
Billy Bob Thornton ,25,Talent,"{'name':'Billy Bob Thornton ', 'price':25},"
Kerry Washington ,25,Talent,"{'name':'Kerry Washington ', 'price':25},"
Ted Danson ,22.5,Talent,"{'name':'Ted Danson ', 'price':22.5},"
Aaron Paul ,22.5,Talent,"{'name':'Aaron Paul ', 'price':22.5},"
Kevin James ,20,Talent,"{'name':'Kevin James ', 'price':20},"
Matt LeBlanc ,20,Talent,"{'name':'Matt LeBlanc ', 'price':20},"
Tom Selleck ,20,Talent,"{'name':'Tom Selleck ', 'price':20},"
Angie Harmon ,18.5,Talent,"{'name':'Angie Harmon ', 'price':18.5},"
Wentworth Miller ,17.5,Talent,"{'name':'Wentworth Miller ', 'price':17.5},"
Dominic Purcell ,17.5,Talent,"{'name':'Dominic Purcell ', 'price':17.5},"
Sarah Wayne Callies ,17.5,Talent,"{'name':'Sarah Wayne Callies ', 'price':17.5},"
Michelle Monaghan ,17.5,Talent,"{'name':'Michelle Monaghan ', 'price':17.5},"
Evan Rachel Wood ,17.5,Talent,"{'name':'Evan Rachel Wood ', 'price':17.5},"
Thandie Newton ,17.5,Talent,"{'name':'Thandie Newton ', 'price':17.5},"
Jeffrey Wright ,17.5,Talent,"{'name':'Jeffrey Wright ', 'price':17.5},"
James Marsden ,17.5,Talent,"{'name':'James Marsden ', 'price':17.5},"
Ingrid Bolso Berdal ,17.5,Talent,"{'name':'Ingrid Bolso Berdal ', 'price':17.5},"
Luke Hemsworth ,17.5,Talent,"{'name':'Luke Hemsworth ', 'price':17.5},"
Sidse Babett Knudsen ,17.5,Talent,"{'name':'Sidse Babett Knudsen ', 'price':17.5},"
Simon Quarterman ,17.5,Talent,"{'name':'Simon Quarterman ', 'price':17.5},"
Rodrigo Santoro ,17.5,Talent,"{'name':'Rodrigo Santoro ', 'price':17.5},"
Angela Sarafyan ,17.5,Talent,"{'name':'Angela Sarafyan ', 'price':17.5},"
Shannon Woodward ,17.5,Talent,"{'name':'Shannon Woodward ', 'price':17.5},"
Ed Harris ,17.5,Talent,"{'name':'Ed Harris ', 'price':17.5},"
Anthony Hopkins ,17.5,Talent,"{'name':'Anthony Hopkins ', 'price':17.5},"
Taraji P. Henson ,17.5,Talent,"{'name':'Taraji P. Henson ', 'price':17.5},"
Terrence Howard ,17.5,Talent,"{'name':'Terrence Howard ', 'price':17.5},"
Keri Russell ,17.5,Talent,"{'name':'Keri Russell ', 'price':17.5},"
Jensen Ackles ,17.5,Talent,"{'name':'Jensen Ackles ', 'price':17.5},"
Rob Lowe ,17.5,Talent,"{'name':'Rob Lowe ', 'price':17.5},"
Mandy Patinkin ,15,Talent,"{'name':'Mandy Patinkin ', 'price':15},"
Mindy Kaling ,14,Talent,"{'name':'Mindy Kaling ', 'price':14},"
Zooey Deschanel ,13,Talent,"{'name':'Zooey Deschanel ', 'price':13},"
Scott Bakula ,13,Talent,"{'name':'Scott Bakula ', 'price':13},"
Téa Leoni ,13,Talent,"{'name':'Téa Leoni ', 'price':13},"
Kristen Bell ,12.5,Talent,"{'name':'Kristen Bell ', 'price':12.5},"
America Ferrera ,12.5,Talent,"{'name':'America Ferrera ', 'price':12.5},"
Jennifer Jason Leigh ,12.5,Talent,"{'name':'Jennifer Jason Leigh ', 'price':12.5},"
Amy Landecker ,10,Talent,"{'name':'Amy Landecker ', 'price':10},"
Jay Duplass ,10,Talent,"{'name':'Jay Duplass ', 'price':10},"
Gaby Hoffmann ,10,Talent,"{'name':'Gaby Hoffmann ', 'price':10},"
Judith Light ,10,Talent,"{'name':'Judith Light ', 'price':10},"
Anthony Anderson ,10,Talent,"{'name':'Anthony Anderson ', 'price':10},"
Andre Braugher ,10,Talent,"{'name':'Andre Braugher ', 'price':10},"
Geena Davis ,10,Talent,"{'name':'Geena Davis ', 'price':10},"
Kyle Chandler ,10,Talent,"{'name':'Kyle Chandler ', 'price':10},"
Sam Heughan ,10,Talent,"{'name':'Sam Heughan ', 'price':10},"
Caitriona Balfe ,10,Talent,"{'name':'Caitriona Balfe ', 'price':10},"
Michael Sheen ,10,Talent,"{'name':'Michael Sheen ', 'price':10},"
Lizzy Caplan ,10,Talent,"{'name':'Lizzy Caplan ', 'price':10},"
Jeff Garlin ,9,Talent,"{'name':'Jeff Garlin ', 'price':9},"
Tracee Ellis Ross ,8,Talent,"{'name':'Tracee Ellis Ross ', 'price':8},"
Abigail Spencer ,7.5,Talent,"{'name':'Abigail Spencer ', 'price':7.5},"
Gina Rodriguez ,6,Talent,"{'name':'Gina Rodriguez ', 'price':6},"
Bryshere Y. Gray ,2,Talent,"{'name':'Bryshere Y. Gray ', 'price':2},"
Jussie Smollett ,2,Talent,"{'name':'Jussie Smollett ', 'price':2},"
Trai Byers ,2,Talent,"{'name':'Trai Byers ', 'price':2},"
,,,
Future ,100,Time Period,"{'name':'Future ', 'price':100},"
Near (less than 25),50,Time Period,"{'name':'Near (less than 25)', 'price':50},"
Present day ,5,Time Period,"{'name':'Present day ', 'price':5},"
1990s ,15,Time Period,"{'name':'1990s ', 'price':15},"
1980s ,20,Time Period,"{'name':'1980s ', 'price':20},"
1970s ,30,Time Period,"{'name':'1970s ', 'price':30},"
1960s ,40,Time Period,"{'name':'1960s ', 'price':40},"
1900s–1950s ,50,Time Period,"{'name':'1900s–1950s ', 'price':50},"
1800s ,55,Time Period,"{'name':'1800s ', 'price':55},"
1700s ,65,Time Period,"{'name':'1700s ', 'price':65},"
0–1699 ,75,Time Period,"{'name':'0–1699 ', 'price':75},"
Human history BCE ,85,Time Period,"{'name':'Human history BCE ', 'price':85},"
Ice Age ,90,Time Period,"{'name':'Ice Age ', 'price':90},"
Prehistoric ,95,Time Period,"{'name':'Prehistoric ', 'price':95},"
,,,
New York ,65,Setting,"{'name':'New York ', 'price':65},"
Los Angeles ,55,Setting,"{'name':'Los Angeles ', 'price':55},"
Chicago ,45,Setting,"{'name':'Chicago ', 'price':45},"
Other North American city ,25,Setting,"{'name':'Other North American city ', 'price':25},"
North American noncity location ,35,Setting,"{'name':'North American noncity location ', 'price':35},"
Africa/Australia/Asia/Europe/South America ,60,Setting,"{'name':'Africa/Australia/Asia/Europe/South America ', 'price':60},"
Island ,70,Setting,"{'name':'Island ', 'price':70},"
The sea (above water),75,Setting,"{'name':'The sea (above water)', 'price':75},"
The sea (underwater),100,Setting,"{'name':'The sea (underwater)', 'price':100},"
Outer space ,100,Setting,"{'name':'Outer space ', 'price':100},"
Inner earth ,65,Setting,"{'name':'Inner earth ', 'price':65},"
Afterlife ,40,Setting,"{'name':'Afterlife ', 'price':40},"
Castle ,35,Setting,"{'name':'Castle ', 'price':35},"
Bar or restaurant ,50,Setting,"{'name':'Bar or restaurant ', 'price':50},"
Prison ,45,Setting,"{'name':'Prison ', 'price':45},"
Hospital ,35,Setting,"{'name':'Hospital ', 'price':35},"
Office ,30,Setting,"{'name':'Office ', 'price':30},"
School ,25,Setting,"{'name':'School ', 'price':25},"
Empty room ,10,Setting,"{'name':'Empty room ', 'price':10},"
Add “apocalyptic” to any setting ,70,Setting,"{'name':'Add “apocalyptic” to any setting ', 'price':70},"
,,,
Dinosaurs ,100,Special Effects,"{'name':'Dinosaurs ', 'price':100},"
Aliens ,75,Special Effects,"{'name':'Aliens ', 'price':75},"
Fast zombies ,65,Special Effects,"{'name':'Fast zombies ', 'price':65},"
Slow zombies ,60,Special Effects,"{'name':'Slow zombies ', 'price':60},"
Robots ,55,Special Effects,"{'name':'Robots ', 'price':55},"
Ghosts ,45,Special Effects,"{'name':'Ghosts ', 'price':45},"
Vampires ,35,Special Effects,"{'name':'Vampires ', 'price':35},"
Other monsters ,25,Special Effects,"{'name':'Other monsters ', 'price':25},"
Fictional animals (e.g. dragons),50,Special Effects,"{'name':'Fictional animals (e.g. dragons)', 'price':50},"
Nonfictional wild animals ,40,Special Effects,"{'name':'Nonfictional wild animals ', 'price':40},"
Nonfictional domestic animals ,30,Special Effects,"{'name':'Nonfictional domestic animals ', 'price':30},"
Large-scale battle scenes ,75,Special Effects,"{'name':'Large-scale battle scenes ', 'price':75},"
Flying ,25,Special Effects,"{'name':'Flying ', 'price':25},"
,,,
Marvel ,100,Pre-existing Intellectual Property,"{'name':'Marvel ', 'price':100},"
Star Wars universe ,100,Pre-existing Intellectual Property,"{'name':'Star Wars universe ', 'price':100},"
Batman ,95,Pre-existing Intellectual Property,"{'name':'Batman ', 'price':95},"
Other DC ,55,Pre-existing Intellectual Property,"{'name':'Other DC ', 'price':55},"
Harry Potter universe ,75,Pre-existing Intellectual Property,"{'name':'Harry Potter universe ', 'price':75},"
Star Trek universe ,55,Pre-existing Intellectual Property,"{'name':'Star Trek universe ', 'price':55},"
Game of Thrones universe ,65,Pre-existing Intellectual Property,"{'name':'Game of Thrones universe ', 'price':65},"
Pixar ,70,Pre-existing Intellectual Property,"{'name':'Pixar ', 'price':70},"
Non-Pixar animated universe ,50,Pre-existing Intellectual Property,"{'name':'Non-Pixar animated universe ', 'price':50},"
Sherlock Holmes (automatically disqualified),0,Pre-existing Intellectual Property,"{'name':'Sherlock Holmes (automatically disqualified)', 'price':0},"
Other movie IP ,50,Pre-existing Intellectual Property,"{'name':'Other movie IP ', 'price':50},"
Other TV IP ,50,Pre-existing Intellectual Property,"{'name':'Other TV IP ', 'price':50},"
